Date,Open,High,Low,Close,Adj Close,Volume,MSFT,AAPL,GOOG,AMZN
1630965600.0,0.8858893498031493,0.8881460078920937,0.9028977735988986,0.9093199698583243,0.9093199698583243,0.10840222392073232,0,0,0,1
1631052000.0,0.9022506872036908,0.8965281162470727,0.9120471448692378,0.9171902110362026,0.9171902110362026,0.13422085032070744,0,0,0,1
1631138400.0,0.9092375542477218,0.8986117176942829,0.9045732397012993,0.8971189262568923,0.8971189262568923,0.10687192815629638,0,0,0,1
1631224800.0,0.8974760543161279,0.8787603870282856,0.8960441740613236,0.8898314220695506,0.8898314220695506,0.08052956416849293,0,0,0,1
1631484000.0,0.8882232454607185,0.8737473070534664,0.8838758687265946,0.8840149374565668,0.8840149374565668,0.09458046164195007,0,0,0,1
1631570400.0,0.8846981348273742,0.8684189275486334,0.8837342453658918,0.880533731617863,0.880533731617863,0.04285319144409183,0,0,0,1
1631656800.0,0.8686384568805666,0.8677546279780473,0.8662950714318197,0.8930552650275441,0.8930552650275441,0.12637296990309219,0,0,0,1
1631743200.0,0.8771180427643045,0.8711620114770023,0.887852313877658,0.8990999329462104,0.8990999329462104,0.09577523801418347,0,0,0,1
1631829600.0,0.8909509583568466,0.8734845080635831,0.890778366230527,0.8866124731234749,0.8866124731234749,0.26214375614777913,0,0,0,1
1632088800.0,0.8460195504615802,0.8360134589860916,0.8189115254069875,0.8347640290978526,0.8347640290978526,0.26644004104793345,0,0,0,1
1632175200.0,0.8358089405070593,0.8172325830796199,0.8322864430168452,0.8288893115692478,0.8288893115692478,0.11192108583895397,0,0,0,1
1632261600.0,0.8241397345013669,0.8216768833087326,0.836516757030206,0.8465718330154587,0.8465718330154587,0.08168342354167724,0,0,0,1
1632348000.0,0.8382643615246529,0.840773211668692,0.8555678834444429,0.8640261808663282,0.8640261808663282,0.07906473560253555,0,0,0,1
1632434400.0,0.8489416339183359,0.8409165678677484,0.8620892015167259,0.8686482838127623,0.8686482838127623,0.057526027303095126,0,0,0,1
1632693600.0,0.8341071478703992,0.8343743678466163,0.8358132711230055,0.8590738097981497,0.8590738097981497,0.18177458661555862,0,0,0,1
1632780000.0,0.8274022095482877,0.8122100218494194,0.8116281317962861,0.8154550643575189,0.8154550643575189,0.24693899930113766,0,0,0,1
1632866400.0,0.8100928537574594,0.803660634329437,0.8154236007377974,0.8082499524144734,0.8082499524144734,0.09403217385469229,0,0,0,1
1632952800.0,0.8071220998656454,0.7924542110083015,0.8037584217709962,0.8004428284537931,0.8004428284537931,0.11695387672199191,0,0,0,1
1633039200.0,0.7939990432977541,0.7835272458735631,0.7949411951884205,0.79957855954353,0.79957855954353,0.1163974055349243,0,0,0,1
1633298400.0,0.7893216054148674,0.769582536598052,0.7560133629691157,0.7541924640489671,0.7541924640489671,0.2544922773255995,0,0,0,1
1633384800.0,0.7529088072706493,0.7603784836863389,0.7688167263676151,0.7693503550693039,0.7693503550693039,0.15188062711029424,0,0,0,1
1633471200.0,0.7572992792117643,0.7621036133953126,0.7669409104957653,0.7892613221169311,0.7892613221169311,0.09163443771041567,0,0,0,1
1633557600.0,0.7952291362753999,0.7914506889417549,0.8081891050934533,0.8088860380190539,0.8088860380190539,0.08149520534605142,0,0,0,1
1633644000.0,0.8076083471711826,0.7893861933710639,0.8106999887988972,0.8021809892223565,0.8021809892223565,0.04786961552751014,0,0,0,1
1633903200.0,0.7871871272621409,0.7756039461711285,0.7862265322124024,0.7816339268598074,0.7816339268598074,0.05081563945904454,0,0,0,1
1633989600.0,0.7784352592242315,0.7636280692756718,0.7853374391993355,0.7821339997164968,0.7821339997164968,0.03325406346717556,0,0,0,1
1634076000.0,0.7846150722389352,0.7735920945063246,0.7974569931150588,0.8000738937537588,0.8000738937537588,0.08239537932513138,0,0,0,1
1634162400.0,0.8005337955491457,0.7851664803787954,0.8119602667142262,0.8076381620833436,0.8076381620833436,0.05697773951583733,0,0,0,1
1634248800.0,0.8048951819215775,0.8319131887846498,0.8184180809340965,0.8606372815301913,0.8606372815301913,0.3082408472764827,0,0,0,1
