Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,40.040001,40.310001,38.799999,38.930000,38.080856,6350400
2022-09-22,38.849998,38.930000,38.009998,38.299999,37.464596,5490500
2022-09-23,38.029999,38.220001,37.500000,38.189999,37.356995,5161200
2022-09-26,38.160000,39.099998,38.099998,38.130001,37.298309,5571700
2022-09-27,38.520000,38.590000,37.270000,37.570000,36.750519,5298000
2022-09-28,37.599998,38.820000,37.549999,38.610001,37.767838,4452700
2022-09-29,37.959999,38.060001,37.279999,37.689999,36.867901,4211800
2022-09-30,37.410000,37.959999,36.759998,36.810001,36.007099,5953300
2022-10-03,36.939999,37.619999,36.180000,37.220001,36.408154,8930300
2022-10-04,38.110001,39.180000,38.090000,38.669998,37.826523,8189800
2022-10-05,38.250000,39.490002,38.180000,39.119999,38.266712,7290500
2022-10-06,38.950001,39.630001,38.840000,38.889999,38.041729,6471800
2022-10-07,38.509998,38.580002,37.419998,37.549999,36.730957,6731600
2022-10-10,37.910000,38.090000,37.290001,37.560001,36.740738,5192100
2022-10-11,37.209999,37.799999,36.619999,36.950001,36.144047,6222400
2022-10-12,36.990002,37.240002,36.610001,37.130001,36.320118,6324300
2022-10-13,36.209999,38.340000,35.919998,37.959999,37.132015,7866600
2022-10-14,38.299999,38.459999,37.009998,37.080002,36.271210,5716900
2022-10-17,38.009998,38.450001,37.790001,37.849998,37.024410,5976000
2022-10-18,38.990002,39.320000,38.160000,38.500000,37.660236,5326500
2022-10-19,38.279999,38.639999,37.279999,37.810001,36.985287,5097700
2022-10-20,37.700001,38.660000,37.480000,37.619999,36.799431,5105200
2022-10-21,37.410000,38.450001,37.080002,38.410000,37.572197,4449300
2022-10-24,38.410000,38.820000,37.599998,38.680000,37.836308,5899100
2022-10-25,38.610001,39.119999,38.139999,38.970001,38.119984,6544200
2022-10-26,38.990002,40.560001,38.919998,39.570000,38.706898,5856200
2022-10-27,39.700001,40.630001,39.619999,39.849998,38.980789,6130400
2022-10-28,38.799999,40.410000,38.480000,40.320000,39.440536,7750500
2022-10-31,40.349998,40.610001,39.419998,39.840000,38.971008,6860700
2022-11-01,40.520000,40.840000,39.299999,39.810001,38.941662,4960300
2022-11-02,39.919998,40.000000,38.009998,38.060001,37.229832,8531900
2022-11-03,39.910000,40.930000,38.410000,38.820000,37.973255,14052700
2022-11-04,39.470001,40.779999,39.029999,40.070000,39.195992,7329900
2022-11-07,40.369999,40.660000,39.369999,40.580002,39.694866,5258300
2022-11-08,40.580002,42.240002,40.220001,41.599998,40.692619,7889100
2022-11-09,41.349998,41.459999,40.490002,40.570000,39.685081,5208100
2022-11-10,42.490002,44.799999,42.259998,44.660000,43.685871,9206000
2022-11-11,45.000000,46.990002,44.740002,46.509998,45.495518,7298800
2022-11-14,46.340000,46.889999,45.849998,45.910000,44.908611,6188100
2022-11-15,47.070000,47.130001,46.029999,47.020000,45.994396,5466800
2022-11-16,46.279999,46.459999,45.310001,45.490002,44.497772,5263300
2022-11-17,44.660000,45.650002,44.570000,45.470001,44.478203,3617200
2022-11-18,46.119999,46.150002,45.250000,45.680000,44.683624,3792000
2022-11-21,45.360001,45.599998,44.540001,44.730000,43.754345,4096100
2022-11-22,44.880001,45.160000,44.410000,45.130001,44.145622,3817000
2022-11-23,45.349998,45.779999,45.110001,45.230000,44.243443,4981600
2022-11-25,44.669998,45.209999,44.560001,45.040001,44.057583,2329800
2022-11-28,45.000000,45.389999,44.250000,44.330002,43.363071,5878400
2022-11-29,44.599998,44.660000,43.619999,43.770000,42.815289,4421400
2022-11-30,43.840000,45.630001,43.529999,45.439999,44.673401,8882300
2022-12-01,45.360001,46.090000,45.049999,45.160000,44.398121,4785600
2022-12-02,44.810001,45.450001,44.380001,45.200001,44.437447,4338000
2022-12-05,44.849998,44.919998,43.820000,43.939999,43.198708,4641100
2022-12-06,43.730000,43.820000,42.740002,43.349998,42.618660,8691500
2022-12-07,43.099998,43.919998,42.959999,43.160000,42.431866,5533200
2022-12-08,43.500000,44.160000,43.259998,43.880001,43.139721,3855000
2022-12-09,43.529999,44.049999,43.310001,43.639999,42.903767,4083600
2022-12-12,43.700001,43.730000,43.090000,43.720001,42.982418,4238100
2022-12-13,45.360001,45.860001,43.320000,43.720001,42.982418,5656600
2022-12-14,43.610001,44.290001,42.900002,43.750000,43.011913,5659400
2022-12-15,43.060001,43.150002,42.009998,42.290001,41.576546,5167300
2022-12-16,42.040001,42.150002,40.619999,41.000000,40.308304,14561000
