Date,Open,High,Low,Close,Adj Close,Volume
2013-09-13,16.762142,16.85107,16.59643,16.603571,14.490783,298835600
2013-09-16,16.464287,16.486071,15.972143,16.075714,14.030094,543706800
2013-09-17,15.998571,16.418215,15.982143,16.261429,14.19218,399380800
2013-09-18,16.542143,16.655357,16.452143,16.595715,14.483926,456862000
2013-09-19,16.810715,16.993929,16.758928,16.867857,14.721439,404541200
2013-09-20,17.071428,17.09107,16.642857,16.693214,14.569022,699302800
2013-09-23,17.717857,17.746786,17.235714,17.522858,15.293092,762106800
2013-09-24,17.674286,17.695356,17.422144,17.467857,15.245085,364344400
2013-09-25,17.47143,17.487143,17.19393,17.1975,15.009133,316957200
2013-09-26,17.357143,17.44857,17.282143,17.365,15.155316,237221600
2013-09-27,17.277857,17.309643,17.168571,17.241072,15.047161,228040400
2013-09-30,17.044643,17.202143,16.943214,17.026787,14.860146,260156400
2013-10-01,17.0875,17.469286,17.084999,17.427143,15.209558,353883600
2013-10-02,17.343929,17.564285,17.276787,17.484285,15.259433,289184000
2013-10-03,17.518213,17.583929,17.169287,17.264643,15.067738,322753200
2013-10-04,17.280714,17.307142,17.092857,17.251072,15.055891,258868400
2013-10-07,17.377144,17.594643,17.333929,17.419643,15.203011,312292400
2013-10-08,17.497856,17.522858,17.162144,17.17643,14.990752,290917200
2013-10-09,17.308571,17.42107,17.081429,17.378214,15.166853,301725200
2013-10-10,17.547144,17.584999,17.394285,17.487143,15.261922,278602800
2013-10-11,17.3925,17.637142,17.327143,17.600357,15.36073,267738800
2013-10-14,17.493929,17.770714,17.476786,17.715714,15.461402,261898000
2013-10-15,17.768213,17.928572,17.697144,17.809999,15.543693,320073600
2013-10-16,17.885357,17.9475,17.829643,17.896786,15.619435,251101200
2013-10-17,17.856428,18.027857,17.845715,18.017857,15.725102,253593200
2013-10-18,18.071072,18.187857,18.061071,18.174643,15.861936,290542000
2013-10-21,18.2775,18.725,18.268572,18.620001,16.250622,398106800
2013-10-22,18.800358,18.873215,18.143929,18.566786,16.204185,534063600
2013-10-23,18.535713,18.77393,18.535713,18.748571,16.362835,313723200
2013-10-24,18.75,19.016787,18.65893,18.996786,16.579462,384764800
2013-10-25,18.975714,19.043928,18.753929,18.784286,16.394001,337792000
2013-10-28,18.894285,18.964287,18.686071,18.924286,16.516186,550440800
2013-10-29,19.1525,19.258928,18.376429,18.452856,16.104753,635807200
2013-10-30,18.557501,18.84,18.465,18.746429,16.360966,354163600
2013-10-31,18.75,18.838928,18.616785,18.667856,16.292393,275696400
2013-11-01,18.715,18.742857,18.422857,18.5725,16.209169,274890000
2013-11-04,18.610714,18.815001,18.528929,18.8125,16.418625,244627600
2013-11-05,18.735001,18.888929,18.678572,18.766071,16.378109,265213200
2013-11-06,18.719643,18.745001,18.507143,18.604286,16.331707,223375600
2013-11-07,18.556429,18.685356,18.299286,18.303213,16.067419,262620400
2013-11-08,18.377857,18.611786,18.306786,18.591429,16.320423,279316800
2013-11-11,18.571072,18.631071,18.371786,18.5375,16.273085,227452400
2013-11-12,18.488214,18.71143,18.464287,18.571787,16.303171,204276800
2013-11-13,18.5,18.651787,18.462856,18.593929,16.322617,197220800
2013-11-14,18.671785,18.902857,18.638214,18.862858,16.558695,282419200
2013-11-15,18.806429,18.89607,18.731787,18.749643,16.459307,317920400
2013-11-18,18.749643,18.828215,18.507143,18.522499,16.259912,244944000
2013-11-19,18.536785,18.692142,18.498928,18.555357,16.288759,208938800
2013-11-20,18.543928,18.58643,18.368929,18.392857,16.146101,193916800
2013-11-21,18.485714,18.614643,18.345358,18.612143,16.338606,262026800
2013-11-22,18.554285,18.648571,18.518929,18.564285,16.2966,223725600
2013-11-25,18.607857,18.781071,18.607143,18.705,16.420116,229311600
2013-11-26,18.718571,19.147858,18.714287,19.049999,16.722975,401382800
2013-11-27,19.153929,19.5,19.049999,19.498571,17.116749,363448400
2013-11-29,19.624287,19.940357,19.564644,19.859644,17.43372,318127600
2013-12-02,19.928572,20.154642,19.672144,19.686787,17.281975,472544800
2013-12-03,19.939285,20.227858,19.917143,20.225714,17.755068,450968000
2013-12-04,20.196428,20.328215,20.029285,20.178572,17.713692,377809600
2013-12-05,20.451786,20.540714,20.22893,20.282143,17.804609,447580000
2013-12-06,20.206785,20.241072,19.984644,20.000713,17.557562,344352400
2013-12-09,20.032143,20.342142,20.032143,20.229643,17.758522,320493600
2013-12-10,20.127857,20.281429,20.042856,20.198214,17.73093,278269600
2013-12-11,20.25,20.391787,19.98893,20.048571,17.599571,359718800
2013-12-12,20.076429,20.190714,20.001072,20.019285,17.573862,262290000
2013-12-13,20.101786,20.102858,19.77393,19.801071,17.382301,332822000
2013-12-16,19.822144,20.094286,19.821787,19.910713,17.478548,282592800
2013-12-17,19.850357,19.98,19.763571,19.821072,17.399857,229902400
2013-12-18,19.632143,19.694643,19.242857,19.670357,17.267557,565863200
2013-12-19,19.625,19.642857,19.418928,19.445,17.069723,320308800
2013-12-20,19.479643,19.700357,19.457857,19.607857,17.212688,436413600
2013-12-23,20.285713,20.382856,20.098572,20.360357,17.873266,501306400
2013-12-24,20.353214,20.424286,20.215357,20.27393,17.797401,167554800
2013-12-26,20.289286,20.339287,20.120714,20.139286,17.679203,204008000
2013-12-27,20.136429,20.157499,19.982143,20.003214,17.559746,225884400
2013-12-30,19.909286,20.003214,19.725714,19.804285,17.385124,253629600
2013-12-31,19.791786,20.045713,19.785713,20.036428,17.588909,223084400
2014-01-02,19.845715,19.893929,19.715,19.754642,17.341547,234684800
2014-01-03,19.745001,19.775,19.301071,19.320715,16.960621,392467600
2014-01-06,19.194643,19.52857,19.057142,19.426071,17.05311,412610800
2014-01-07,19.440001,19.498571,19.21143,19.287144,16.931156,317209200
2014-01-08,19.243214,19.484285,19.23893,19.409286,17.038374,258529600
2014-01-09,19.52857,19.530714,19.119642,19.161428,16.820799,279148800
2014-01-10,19.279642,19.314285,18.968214,19.033571,16.708551,304976000
2014-01-13,18.925358,19.375,18.924286,19.133215,16.796021,378492800
2014-01-14,19.222143,19.526072,19.202143,19.513929,17.130232,332561600
2014-01-15,19.768572,20.007143,19.702143,19.905714,17.474159,391638800
2014-01-16,19.817858,19.887501,19.702856,19.794643,17.376657,229278000
2014-01-17,19.695715,19.716785,19.282143,19.309643,16.950903,426739600
2014-01-21,19.321072,19.645357,19.300714,19.609644,17.214254,328526800
2014-01-22,19.675358,19.903214,19.564644,19.696787,17.29076,379985200
2014-01-23,19.640715,19.875,19.4575,19.863571,17.437168,403239200
2014-01-24,19.785713,19.843571,19.455357,19.502501,17.120205,429354800
2014-01-27,19.645357,19.814285,19.491072,19.660713,17.259094,554878800
2014-01-28,18.17,18.392857,17.93107,18.089287,15.879622,1065523200
2014-01-29,17.998215,18.120358,17.807858,17.883928,15.699346,502810000
2014-01-30,17.947857,18.089287,17.739286,17.849285,15.668931,678501600
2014-01-31,17.684999,17.911785,17.626785,17.878571,15.69464,464797200
2014-02-03,17.950357,18.133215,17.832144,17.911785,15.723796,401464000
2014-02-04,18.066071,18.195,17.955713,18.17107,15.951412,376681200
2014-02-05,18.091429,18.402857,18.080357,18.306786,16.070547,328344800
2014-02-06,18.216429,18.339287,18.13607,18.303928,16.164215,257765200
2014-02-07,18.620714,18.676071,18.477858,18.559999,16.390354,370280400
2014-02-10,18.523571,18.999643,18.5,18.8925,16.683987,345559200
2014-02-11,18.950357,19.205357,18.910713,19.14143,16.903826,282256800
2014-02-12,19.176786,19.27,19.044287,19.139999,16.902555,308100800
2014-02-13,19.094999,19.458929,19.078571,19.44393,17.170956,307398000
2014-02-14,19.373928,19.499287,19.32893,19.428213,17.157082,272924400
2014-02-18,19.5,19.685356,19.486071,19.499643,17.220154,260251600
2014-02-19,19.455357,19.531786,19.083929,19.191786,16.948288,313768000
2014-02-20,19.035357,19.178572,18.892857,18.969643,16.752113,305858000
2014-02-21,19.028214,19.091785,18.735714,18.758928,16.566029,278784800
2014-02-24,18.683929,18.925714,18.657858,18.84107,16.638573,288909600
2014-02-25,18.906429,18.913214,18.607143,18.645,16.46542,231952000
2014-02-26,18.700357,18.75,18.414286,18.476786,16.316872,276217200
2014-02-27,18.469286,18.885,18.430357,18.845358,16.642355,301882000
2014-02-28,18.895714,19.026787,18.647142,18.794287,16.597254,371968800
2014-03-03,18.693571,18.951786,18.671785,18.848572,16.645195,238781200
